Year,Inflation
1990,16.65253439
1991,25.9
1992,31.7
1993,20.7
1994,29.0
1995,29.8
1996,18.7
1997,5.7
1998,5.0
1999,2.6
2000,0.339163189
2001,4.278
2002,3.125
2003,4.313
2004,4.759
2005,1.492
2006,2.837
2007,3.946
2008,5.181
2009,4.828
2010,5.607
2011,3.857
2012,4.942
2013,8.719
2014,2.916926921
2015,4.784447007
2016,6.397694803
2017,5.59111591
2018,4.269990205
2019,1.951768211
2020,2.415130941
2021,7.226063074
2022,9.265515516
2023,9.322173759
