Year,Unemployment
1990,
1991,20.6
1992,24.4
1993,26.2
1994,27.7
1995,31.8
1996,28.3
1997,25.4
1998,26.9
1999,28.5
2000,29.77
2001,27.3
2002,25.9
2003,23.7
2004,17.6
2005,15.3
2006,12.3
2007,13.8
2008,11.3
2009,10.2
2010,10.0
2011,10.0
2012,11.0
2013,9.8
2014,10.207
2015,11.206
2016,10.202
2017,12.0
2018,12.15
2019,12.285
2020,14.04
2021,13.607
2022,12.437
2023,11.814
